T1 P1 X0.0 Y0.0 Z151.21 A0.0 B0.0 C0.0 U0.0 V0.0 W0.0 D0.0 I0.0 J0.0 Q0.0 ;rought 20 
T2 P2 X0.0 Y0.0 Z112.0 A0.0 B0.0 C0.0 U0.0 V0.0 W0.0 D0.0 I0.0 J0.0 Q0.0 ;cobed 
T3 P3 X0.0 Y0.0 Z1.273 A0.0 B0.0 C0.0 U0.0 V0.0 W0.0 D0.201 I0.0 J0.0 Q0.0 ;#7 tap drill 
T4 P4 X0.0 Y0.0 Z127.5 A0.0 B0.0 C0.0 U0.0 V0.0 W0.0 D0.0 I0.0 J0.0 Q0.0 ;oght 8mm 
T5 P5 X0.0 Y0.0 Z0.0 A0.0 B0.0 C0.0 U0.0 V0.0 W0.0 D0.0 I0.0 J0.0 Q0.0 ;added 20181215 
T6 P6 X0.0 Y0.0 Z1.0 A0.0 B0.0 C0.0 U0.0 V0.0 W0.0 D0.0 I0.0 J0.0 Q0.0 ;added 20181215 
T7 P7 X0.0 Y0.0 Z1.0 A0.0 B0.0 C0.0 U0.0 V0.0 W0.0 D0.0 I0.0 J0.0 Q0.0 ;added 20181215 
T8 P8 X0.0 Y0.0 Z1.0 A0.0 B0.0 C0.0 U0.0 V0.0 W0.0 D0.0 I0.0 J0.0 Q0.0 ;added 20181215 
T9 P9 X0.0 Y0.0 Z0.0 A0.0 B0.0 C0.0 U0.0 V0.0 W0.0 D0.0 I0.0 J0.0 Q0.0 ;added 20181215 
T10 P10 X0.0 Y0.0 Z1.0 A0.0 B0.0 C0.0 U0.0 V0.0 W0.0 D0.0 I0.0 J0.0 Q0.0 ;added 20181215 
T11 P11 X0.0 Y0.0 Z1.0 A0.0 B0.0 C0.0 U0.0 V0.0 W0.0 D0.0 I0.0 J0.0 Q0.0 ;added 20181215 
T12 P12 X0.0 Y0.0 Z1.0 A0.0 B0.0 C0.0 U0.0 V0.0 W0.0 D0.0 I0.0 J0.0 Q0.0 ;added 20181215 
